abfrage_datum,zone_id,zone_name,zeitraum_10j_von,zeitraum_10j_bis,temperatur_mittel_c_10j,niederschlag_mittel_pro_saison_mm_10j,sonnenstunden_mittel_pro_saison_10j,waermesumme_gdd_mittel_10j,hitzetage_ueber_30c_mittel_10j,laengste_trockenperiode_tage_mittel_10j,letzter_fruehjahrsfrost_datum_approx_10j,erster_herbstfrost_datum_approx_10j,jahre_ohne_erkannten_fruehjahrsfrost_10j,anzahl_jahre_in_auswertung_10j,zeitraum_30j_von,zeitraum_30j_bis,temperatur_mittel_c_30j,niederschlag_mittel_pro_saison_mm_30j,sonnenstunden_mittel_pro_saison_30j,waermesumme_gdd_mittel_30j,hitzetage_ueber_30c_mittel_30j,laengste_trockenperiode_tage_mittel_30j,letzter_fruehjahrsfrost_datum_approx_30j,erster_herbstfrost_datum_approx_30j,jahre_ohne_erkannten_fruehjahrsfrost_30j,anzahl_jahre_in_auswertung_30j
2026-08-20,north_taiga,Север (тайга),2016,2025,14.4,339.9,1702.3,1466.6,3.1,14.1,05-18,09-30,0,10,1996,2025,13.9,329.9,1677.7,1383.9,1.8,12.9,05-15,09-29,0,30
2026-08-20,north_foreststeppe,Северная лесостепь,2016,2025,15.3,300.0,1750.5,1592.4,3.0,16.7,05-13,09-30,0,10,1996,2025,15.0,275.3,1725.9,1536.8,2.7,14.9,05-13,10-01,0,30
2026-08-20,south_foreststeppe,Южная лесостепь,2016,2025,16.1,268.4,1774.3,1713.8,6.3,14.4,05-08,10-01,0,10,1996,2025,15.9,251.2,1742.3,1682.5,6.9,15.2,05-10,10-04,0,30
2026-08-20,steppe,Степь,2016,2025,17.6,216.5,1816.4,1933.9,13.8,18.0,05-03,10-09,0,10,1996,2025,16.9,213.9,1795.7,1825.4,11.3,17.4,05-04,10-09,0,30
