zone_id,zone_name,jahr,monat,niederschlag_mm,temperatur_mittel_c
north_taiga,Север (тайга),2009,4,48.2,2.2
north_taiga,Север (тайга),2009,5,30.1,9.7
north_taiga,Север (тайга),2009,6,73.3,14.4
north_taiga,Север (тайга),2009,7,133.5,17.2
north_taiga,Север (тайга),2009,8,76.3,15.9
north_taiga,Север (тайга),2009,9,26.3,10.6
north_taiga,Север (тайга),2009,10,48.9,2.6
north_taiga,Север (тайга),2010,3,25.3,-7.8
north_taiga,Север (тайга),2010,4,27.5,2.7
north_taiga,Север (тайга),2010,5,40.0,7.9
north_taiga,Север (тайга),2010,6,40.3,15.7
north_taiga,Север (тайга),2010,7,57.3,16.2
north_taiga,Север (тайга),2010,8,47.7,16.9
north_taiga,Север (тайга),2010,9,69.9,8.7
north_taiga,Север (тайга),2010,10,12.5,3.4
north_taiga,Север (тайга),2011,3,35.9,-6.8
north_taiga,Север (тайга),2011,4,55.1,4.1
north_taiga,Север (тайга),2011,5,24.1,9.4
north_taiga,Север (тайга),2011,6,86.4,18.4
north_taiga,Север (тайга),2011,7,71.8,15.7
north_taiga,Север (тайга),2011,8,69.8,13.7
north_taiga,Север (тайга),2011,9,8.4,11.6
north_taiga,Север (тайга),2011,10,30.0,4.7
north_taiga,Север (тайга),2012,3,28.4,-5.2
north_taiga,Север (тайга),2012,4,43.8,4.9
north_taiga,Север (тайга),2012,5,58.5,9.6
north_taiga,Север (тайга),2012,6,86.1,20.2
north_taiga,Север (тайга),2012,7,62.6,21.2
north_taiga,Север (тайга),2012,8,30.5,15.9
north_taiga,Север (тайга),2012,9,62.9,11.1
north_taiga,Север (тайга),2012,10,42.0,3.1
north_taiga,Север (тайга),2013,3,50.4,-9.8
north_taiga,Север (тайга),2013,4,30.0,2.1
north_taiga,Север (тайга),2013,5,99.6,6.7
north_taiga,Север (тайга),2013,6,50.7,13.7
north_taiga,Север (тайга),2013,7,56.6,19.1
north_taiga,Север (тайга),2013,8,38.4,16.5
north_taiga,Север (тайга),2013,9,22.6,9.2
north_taiga,Север (тайга),2013,10,50.1,0.8
north_taiga,Север (тайга),2014,3,60.0,-2.8
north_taiga,Север (тайга),2014,4,33.8,2.1
north_taiga,Север (тайга),2014,5,42.8,9.4
north_taiga,Север (тайга),2014,6,48.9,15.0
north_taiga,Север (тайга),2014,7,147.7,15.1
north_taiga,Север (тайга),2014,8,70.7,17.2
north_taiga,Север (тайга),2014,9,57.1,6.9
north_taiga,Север (тайга),2014,10,88.5,-2.9
north_taiga,Север (тайга),2015,3,21.1,-5.7
north_taiga,Север (тайга),2015,4,34.8,3.6
north_taiga,Север (тайга),2015,5,49.0,11.1
north_taiga,Север (тайга),2015,6,90.7,18.6
north_taiga,Север (тайга),2015,7,94.2,16.7
north_taiga,Север (тайга),2015,8,110.2,13.1
north_taiga,Север (тайга),2015,9,35.3,8.2
north_taiga,Север (тайга),2015,10,47.6,0.0
north_taiga,Север (тайга),2016,3,40.9,-4.6
north_taiga,Север (тайга),2016,4,36.6,5.5
north_taiga,Север (тайга),2016,5,26.3,10.0
north_taiga,Север (тайга),2016,6,77.2,17.4
north_taiga,Север (тайга),2016,7,53.6,19.5
north_taiga,Север (тайга),2016,8,50.4,18.9
north_taiga,Север (тайга),2016,9,46.7,12.4
north_taiga,Север (тайга),2016,10,9.2,-1.4
north_taiga,Север (тайга),2017,3,27.6,-4.5
north_taiga,Север (тайга),2017,4,39.7,3.0
north_taiga,Север (тайга),2017,5,72.1,8.6
north_taiga,Север (тайга),2017,6,42.5,17.7
north_taiga,Север (тайга),2017,7,125.4,16.9
north_taiga,Север (тайга),2017,8,36.6,16.7
north_taiga,Север (тайга),2017,9,36.3,7.8
north_taiga,Север (тайга),2017,10,38.0,0.4
north_taiga,Север (тайга),2018,3,53.3,-8.5
north_taiga,Север (тайга),2018,4,48.8,0.7
north_taiga,Север (тайга),2018,5,73.0,4.8
north_taiga,Север (тайга),2018,6,117.4,14.8
north_taiga,Север (тайга),2018,7,9.8,19.6
north_taiga,Север (тайга),2018,8,150.0,14.8
north_taiga,Север (тайга),2018,9,51.4,10.3
north_taiga,Север (тайга),2018,10,54.8,3.5
north_taiga,Север (тайга),2019,3,26.6,-2.9
north_taiga,Север (тайга),2019,4,29.3,1.1
north_taiga,Север (тайга),2019,5,39.0,9.6
north_taiga,Север (тайга),2019,6,100.4,13.7
north_taiga,Север (тайга),2019,7,85.2,19.7
north_taiga,Север (тайга),2019,8,72.0,16.3
north_taiga,Север (тайга),2019,9,69.0,9.5
north_taiga,Север (тайга),2019,10,59.3,4.3
north_taiga,Север (тайга),2020,3,59.5,-2.0
north_taiga,Север (тайга),2020,4,39.3,6.8
north_taiga,Север (тайга),2020,5,66.4,15.5
north_taiga,Север (тайга),2020,6,73.6,14.1
north_taiga,Север (тайга),2020,7,24.9,19.7
north_taiga,Север (тайга),2020,8,84.7,17.7
north_taiga,Север (тайга),2020,9,103.5,10.2
north_taiga,Север (тайга),2020,10,53.7,3.0
north_taiga,Север (тайга),2021,3,58.7,-7.0
north_taiga,Север (тайга),2021,4,18.1,2.6
north_taiga,Север (тайга),2021,5,21.1,14.1
north_taiga,Север (тайга),2021,6,45.7,15.3
north_taiga,Север (тайга),2021,7,138.6,18.2
north_taiga,Север (тайга),2021,8,83.0,18.0
north_taiga,Север (тайга),2021,9,44.9,7.8
north_taiga,Север (тайга),2021,10,44.1,2.6
north_taiga,Север (тайга),2022,3,34.3,-8.5
north_taiga,Север (тайга),2022,4,23.6,3.8
north_taiga,Север (тайга),2022,5,60.4,12.8
north_taiga,Север (тайга),2022,6,105.6,14.8
north_taiga,Север (тайга),2022,7,65.2,18.2
north_taiga,Север (тайга),2022,8,51.3,16.1
north_taiga,Север (тайга),2022,9,66.2,9.3
north_taiga,Север (тайга),2022,10,26.4,3.4
north_taiga,Север (тайга),2023,3,26.9,-3.5
north_taiga,Север (тайга),2023,4,8.3,1.0
north_taiga,Север (тайга),2023,5,16.4,11.5
north_taiga,Север (тайга),2023,6,74.2,16.5
north_taiga,Север (тайга),2023,7,121.2,20.8
north_taiga,Север (тайга),2023,8,123.6,16.0
north_taiga,Север (тайга),2023,9,29.3,11.8
north_taiga,Север (тайга),2023,10,69.7,4.2
north_taiga,Север (тайга),2024,3,30.2,-5.1
north_taiga,Север (тайга),2024,4,44.7,2.3
north_taiga,Север (тайга),2024,5,58.9,6.8
north_taiga,Север (тайга),2024,6,48.7,17.9
north_taiga,Север (тайга),2024,7,118.4,18.7
north_taiga,Север (тайга),2024,8,123.0,15.7
north_taiga,Север (тайга),2024,9,24.2,10.0
north_taiga,Север (тайга),2024,10,27.7,2.8
